곡명,계절,순위,가수,Month,Year
취중고백,겨울,32,김민석,2,2023
취중고백,겨울,69,김민석,12,2024
취중고백,겨울,41,김민석,1,2024
취중고백,겨울,44,김민석,2,2024
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",겨울,19,AKMU (악뮤),12,2020
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",겨울,46,AKMU (악뮤),12,2021
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",겨울,16,AKMU (악뮤),1,2021
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",겨울,23,AKMU (악뮤),2,2021
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",겨울,50,AKMU (악뮤),1,2022
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",겨울,56,AKMU (악뮤),2,2022
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",겨울,35,AKMU (악뮤),12,2023
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",겨울,20,AKMU (악뮤),12,2024
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",겨울,28,AKMU (악뮤),1,2024
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",겨울,38,AKMU (악뮤),2,2024
