순위,곡명,가수,앨범,장르
33,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,R&B/Soul
34,내 손을 잡아,아이유,최고의 사랑 OST Part.4,"발라드, 국내드라마"
35,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단",Savage Love (Laxed - Siren Beat) [BTS Remix],POP
36,Off My Face,Justin Bieber,Justice (The Complete Edition),POP
37,운전만해 (We Ride),브레이브걸스,We Ride,댄스
38,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),발라드
39,Lovesick Girls,BLACKPINK,THE ALBUM,댄스
40,멜로디,ASH ISLAND,멜로디,랩/힙합
41,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
42,Timeless,SG 워너비,Sg Wanna Be+,발라드
43,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,댄스
44,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요/트로트
45,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아,발라드
46,색안경 (STEREOTYPE),STAYC(스테이씨),STEREOTYPE,댄스
47,상상더하기,라붐 (LABOUM),Fresh Adventure,댄스
48,아로하,조정석,슬기로운 의사생활 OST Part 3,"발라드, 국내드라마"
49,가을 타나 봐,이무진,가을 타나 봐 (REVIBE Vol.4),포크/블루스
50,나를 아는 사람,MSG워너비(정상동기),MSG워너비 1집,발라드
51,여전히 아름다운지,세븐틴 (SEVENTEEN),슬기로운 의사생활 시즌2 OST Part 8,"발라드, 국내드라마"
52,Blueming,아이유,Love poem,록/메탈
53,잠이 오질 않네요,장범준,잠이 오질 않네요,발라드
54,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),발라드
55,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"발라드, 국내드라마"
56,봄날,방탄소년단,YOU NEVER WALK ALONE,랩/힙합
57,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,록/메탈
58,어푸 (Ah puh),아이유,IU 5th Album 'LILAC',댄스
59,2002,Anne-Marie,Speak Your Mind (Deluxe),POP
60,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,발라드
61,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,"록/메탈, 국내드라마"
62,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래,랩/힙합
63,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special,"록/메탈, 국내드라마"
64,오래된 노래,스탠딩 에그,오래된 노래,"인디음악, 포크/블루스"
65,METEOR,창모 (CHANGMO),Boyhood,랩/힙합
66,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,댄스
67,Life Goes On,방탄소년단,BE,랩/힙합
68,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,"R&B/Soul, 인디음악"
69,고백,10CM,두 번째 '고백',록/메탈
70,12:45 (Stripped),Etham,12:45 (Stripped),POP
71,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지","LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",댄스
72,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",MSG워너비 TOP 8 경연곡,댄스
73,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,"발라드, 인디음악"
74,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),발라드
75,사실 나는 (Feat.전건호),경서예지,사실 나는,발라드
76,슈퍼스타,미도와 파라솔,슬기로운 의사생활 시즌2 OST Part 6,"록/메탈, 국내드라마"
77,Memories,Maroon 5,JORDI (Deluxe),POP
78,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (MIRANI), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1,랩/힙합
79,가까운 듯 먼 그대여,카더가든,가까운 듯 먼 그대여,발라드
80,어떻게 지내 (Prod. By VAN.C),오반(OVAN),어떻게 지내,"랩/힙합, 인디음악"
81,라라라,SG 워너비,My Friend,발라드
82,빨간 립스틱 (Feat. 윤미래),이하이,4 ONLY,R&B/Soul
83,산책,백예린 (Yerin Baek),선물,발라드
84,고백,장범준,첫 번째 '고백',록/메탈
85,허리춤,오반(OVAN),허리춤,"랩/힙합, 인디음악"
86,회상,정경호,슬기로운 의사생활 시즌2 OST Part 9,"발라드, 국내드라마"
87,Coin,아이유,IU 5th Album 'LILAC',R&B/Soul
88,On The Ground,로제 (ROSÉ),R,록/메탈
89,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아,성인가요/트로트
90,그대라는 사치,임영웅,사랑의 콜센타 PART62,발라드
91,"19금 Hey Mama (Feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Listen,일렉트로니카
92,넌 좋은 사람,SG 워너비,넌 좋은 사람,발라드
93,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,발라드
94,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56,성인가요/트로트
95,오늘은 가지마 (2021),환희,오늘은 가지마 (2021),발라드
96,HERO,임영웅,HERO,성인가요/트로트
97,My Universe,"Coldplay, 방탄소년단",My Universe,POP
98,How You Like That,BLACKPINK,How You Like That,댄스
99,내사람,SG 워너비,The Precious History,R&B/Soul
100,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,댄스
