순위,곡명,가수,앨범,장르
1,STAY,"The Kid LAROI, Justin Bieber",Stay,POP
2,신호등,이무진,신호등,록/메탈
3,Next Level,aespa,Next Level,댄스
4,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,발라드
5,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT,랩/힙합
6,Weekend,태연 (TAEYEON),Weekend,댄스
7,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,록/메탈
8,Permission to Dance,방탄소년단,Butter / Permission to Dance,댄스
9,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album,댄스
10,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5,"발라드, 국내드라마"
11,Butter,방탄소년단,Butter,댄스
12,DUMB DUMB,전소미,DUMB DUMB,댄스
13,"19금 Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber,Justice (The Complete Edition),POP
14,헤픈 우연,헤이즈 (Heize),HAPPEN,R&B/Soul
15,Bad Habits,Ed Sheeran,=,POP
16,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌,시간을 거슬러 (낮에 뜨는 달 X 케이윌),발라드
17,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
18,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1,"록/메탈, 국내드라마"
19,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
20,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,댄스
21,롤린 (Rollin'),브레이브걸스,Rollin',댄스
22,라일락,아이유,IU 5th Album 'LILAC',댄스
23,Celebrity,아이유,IU 5th Album 'LILAC',댄스
24,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021),"발라드, 국내드라마"
25,ASAP,STAYC(스테이씨),STAYDOM,댄스
26,고백,멜로망스,세 번째 '고백',"발라드, 인디음악"
27,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,랩/힙합
28,하루만 더,빅마마,하루만 더,발라드
29,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2,"발라드, 국내드라마"
30,치맛바람 (Chi Mat Ba Ram),브레이브걸스,Summer Queen,댄스
31,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album,록/메탈
32,Alcohol-Free,TWICE (트와이스),Taste of Love,댄스
