순위,곡명,가수,앨범,장르
1,STAY,"The Kid LAROI, Justin Bieber",Stay,POP
2,신호등,이무진,신호등,록/메탈
3,Savage,aespa,Savage - The 1st Mini Album,댄스
4,My Universe,"Coldplay, 방탄소년단",My Universe,POP
5,Next Level,aespa,Next Level,댄스
6,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT,랩/힙합
7,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,록/메탈
8,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,발라드
9,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
10,Permission to Dance,방탄소년단,Butter / Permission to Dance,댄스
11,Weekend,태연 (TAEYEON),Weekend,댄스
12,strawberry moon,아이유,strawberry moon,록/메탈
13,"19금 Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber,Justice (The Complete Edition),POP
14,Butter,방탄소년단,Butter,댄스
15,Bad Habits,Ed Sheeran,=,POP
16,헤픈 우연,헤이즈 (Heize),HAPPEN,R&B/Soul
17,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5,"발라드, 국내드라마"
18,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌,시간을 거슬러 (낮에 뜨는 달 X 케이윌),발라드
19,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
20,고백,멜로망스,세 번째 '고백',"발라드, 인디음악"
21,DUMB DUMB,전소미,DUMB DUMB,댄스
22,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album,댄스
23,너를 생각해,주시크 (Joosiq),너를 생각해,"R&B/Soul, 인디음악"
24,라일락,아이유,IU 5th Album 'LILAC',댄스
25,Celebrity,아이유,IU 5th Album 'LILAC',댄스
26,가을 타나 봐,이무진,가을 타나 봐 (REVIBE Vol.4),포크/블루스
27,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1,"록/메탈, 국내드라마"
28,롤린 (Rollin'),브레이브걸스,Rollin',댄스
29,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,댄스
30,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021),"발라드, 국내드라마"
31,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,랩/힙합
32,ASAP,STAYC(스테이씨),STAYDOM,댄스
33,Off My Face,Justin Bieber,Justice (The Complete Edition),POP
