순위,곡명,가수,앨범,장르
1,Celebrity,아이유,IU 5th Album 'LILAC',댄스
2,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),발라드
3,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
4,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (MIRANI), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1,랩/힙합
5,잠이 오질 않네요,장범준,잠이 오질 않네요,발라드
6,Lovesick Girls,BLACKPINK,THE ALBUM,댄스
7,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),발라드
8,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),발라드
9,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,록/메탈
10,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,발라드
11,오래된 노래,스탠딩 에그,오래된 노래,"인디음악, 포크/블루스"
12,Blueming,아이유,Love poem,록/메탈
13,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),발라드
14,I'm Not Cool,현아,I’m Not Cool,댄스
15,Life Goes On,방탄소년단,BE,랩/힙합
16,내 손을 잡아,아이유,최고의 사랑 OST Part.4,"발라드, 국내드라마"
17,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3,랩/힙합
18,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),발라드
19,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단",Savage Love (Laxed - Siren Beat) [BTS Remix],POP
20,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,R&B/Soul
21,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,"록/메탈, 국내드라마"
22,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각),발라드
23,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
24,화(火花),i-dle (아이들),I burn,댄스
25,사실 나는 (Feat.전건호),경서예지,사실 나는,발라드
26,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,발라드
27,혼술하고 싶은 밤,벤,혼술하고 싶은 밤,발라드
28,METEOR,창모 (CHANGMO),Boyhood,랩/힙합
29,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"발라드, 국내드라마"
30,어떻게 지내 (Prod. By VAN.C),오반(OVAN),어떻게 지내,"랩/힙합, 인디음악"
31,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,발라드
32,How You Like That,BLACKPINK,How You Like That,댄스
33,When We Disco (Duet with 선미),박진영,When We Disco,댄스
34,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,댄스
35,아로하,조정석,슬기로운 의사생활 OST Part 3,"발라드, 국내드라마"
36,마음을 드려요,아이유,사랑의 불시착 OST Part 11,"발라드, 국내드라마"
37,2002,Anne-Marie,Speak Your Mind (Deluxe),POP
38,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,"R&B/Soul, 인디음악"
39,서면역에서,순순희,서면역에서,"발라드, 인디음악"
40,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,댄스
41,술 한잔 해요,"경서 (경서예지), MJ (써니사이드)",술 한잔 해요,발라드
42,Memories,Maroon 5,JORDI (Deluxe),POP
43,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),쇼미더머니 9 Final,랩/힙합
44,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,"록/메탈, 국내드라마"
45,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,"발라드, 인디음악"
46,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어,발라드
47,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,발라드
48,봄날,방탄소년단,YOU NEVER WALK ALONE,랩/힙합
49,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga),댄스
50,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,댄스
51,Love poem,아이유,Love poem,록/메탈
52,Dance Monkey,Tones And I,The Kids Are Coming,POP
53,마리아 (Maria),화사 (HWASA),María,댄스
54,너를 만나,폴킴,너를 만나,발라드
55,I CAN’T STOP ME,TWICE (트와이스),Eyes wide open,댄스
56,사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적,발라드
57,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (MIRANI),쇼미더머니 9 Episode 3,랩/힙합
58,DON'T TOUCH ME,환불원정대,DON'T TOUCH ME,댄스
59,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아,발라드
60,Panorama,IZ*ONE (아이즈원),One-reeler / Act IV,댄스
61,Downtown Baby,블루 (BLOO),Downtown Baby,"랩/힙합, 인디음악"
62,안녕,폴킴,호텔 델루나 OST Part.10,"발라드, 국내드라마"
63,우린 어쩌다 헤어진 걸까,허각,Hello,발라드
64,홀로,이하이,홀로,R&B/Soul
65,Freak (Prod. Slom),"릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)",쇼미더머니 9 Episode 1,랩/힙합
66,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda,쇼미더머니 9 Episode 3,랩/힙합
67,"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈,"사랑 못해, 남들 쉽게 다 하는 거",발라드
68,눈누난나 (NUNU NANA),제시 (Jessi),NUNA,랩/힙합
69,12:45 (Stripped),Etham,12:45 (Stripped),POP
70,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요/트로트
71,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI),쇼미더머니 9 Final,랩/힙합
72,한잔이면 지워질까,황인욱,한잔이면 지워질까,발라드
73,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA,발라드
74,소확행,임창정,힘든 건 사랑이 아니다,발라드
75,Don't Start Now,Dua Lipa,Future Nostalgia,POP
76,Paris in the Rain,Lauv,I met you when I was 18. (the playlist),POP
77,아무노래,지코 (ZICO),아무노래,랩/힙합
78,가을밤에 든 생각,잔나비,잔나비 소곡집 l,"인디음악, 록/메탈"
79,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11,"발라드, 국내드라마"
80,뻔한남자,이승기,뻔한남자,발라드
81,What Do I Call You,태연 (TAEYEON),What Do I Call You - The 4th Mini Album,R&B/Soul
82,Maniac,Conan Gray,Maniac,POP
83,Bad Boy,"청하, Christopher",Bad Boy,POP
84,Black Mamba,aespa,Black Mamba,댄스
85,별을 담은 시 (Ode To The Stars),"마크툽 (MAKTUB), 이라온",Red Moon : Ode To The Stars,"R&B/Soul, 인디음악"
86,행복해,송하예,Happy,발라드
87,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),"스윙스, 코드 쿤스트 (CODE KUNST)",쇼미더머니 9 Semi Final,랩/힙합
88,잘할게,이승기,The Project,발라드
89,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",다시 여기 바닷가,댄스
90,다시 만날까 봐 (Prod.V.O.S),이예준,다시 만날까 봐 (Prod.V.O.S),발라드
91,마음이 그래,"개코, 권진아",마음이 그래,R&B/Soul
92,ON,방탄소년단,MAP OF THE SOUL : 7,랩/힙합
93,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),POP
94,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM),쇼미더머니 9 Semi Final,랩/힙합
95,나로 바꾸자 (duet with JYP),비,나로 바꾸자 (duet with JYP),댄스
96,너도 아는,폴킴,너도 아는,발라드
97,12월의 어느 겨울…,윤도 (YoonDo),12월의 어느 겨울…,발라드
98,그대 없이 그대와,HYNN (박혜원),그대 없이 그대와,발라드
99,서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA)),윤하 (YOUNHA),서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA)),발라드
100,Your Lights,이수 (엠씨더맥스),Your Lights (바이크 원정대 OST Part.1),"록/메탈, 국내영화"
