순위,곡명,가수,앨범,장르
1,롤린 (Rollin'),브레이브걸스,Rollin',댄스
2,라일락,아이유,IU 5th Album 'LILAC',댄스
3,Celebrity,아이유,IU 5th Album 'LILAC',댄스
4,"19금 Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber,Justice (The Complete Edition),POP
5,Coin,아이유,IU 5th Album 'LILAC',R&B/Soul
6,운전만해 (We Ride),브레이브걸스,We Ride,댄스
7,On The Ground,로제 (ROSÉ),R,록/메탈
8,내 손을 잡아,아이유,최고의 사랑 OST Part.4,"발라드, 국내드라마"
9,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지","LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",댄스
10,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
11,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,R&B/Soul
12,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),발라드
13,봄 안녕 봄,아이유,IU 5th Album 'LILAC',발라드
14,잠이 오질 않네요,장범준,잠이 오질 않네요,발라드
15,Blueming,아이유,Love poem,록/메탈
16,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,록/메탈
17,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),발라드
18,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (MIRANI), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1,랩/힙합
19,Flu,아이유,IU 5th Album 'LILAC',댄스
20,어푸 (Ah puh),아이유,IU 5th Album 'LILAC',댄스
21,Lovesick Girls,BLACKPINK,THE ALBUM,댄스
22,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),발라드
23,아이와 나의 바다,아이유,IU 5th Album 'LILAC',발라드
24,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,"록/메탈, 국내드라마"
25,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),발라드
26,돌림노래 (Feat. DEAN),아이유,IU 5th Album 'LILAC',R&B/Soul
27,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,발라드
28,오래된 노래,스탠딩 에그,오래된 노래,"인디음악, 포크/블루스"
29,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
30,Timeless,SG 워너비,Sg Wanna Be+,발라드
31,12:45 (Stripped),Etham,12:45 (Stripped),POP
32,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단",Savage Love (Laxed - Siren Beat) [BTS Remix],POP
33,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,발라드
34,그냥 안아달란 말야,다비치,그냥 안아달란 말야,발라드
35,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아,발라드
36,METEOR,창모 (CHANGMO),Boyhood,랩/힙합
37,봄날,방탄소년단,YOU NEVER WALK ALONE,랩/힙합
38,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,댄스
39,사실 나는 (Feat.전건호),경서예지,사실 나는,발라드
40,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"발라드, 국내드라마"
41,Life Goes On,방탄소년단,BE,랩/힙합
42,2002,Anne-Marie,Speak Your Mind (Deluxe),POP
43,Gone,로제 (ROSÉ),R,포크/블루스
44,어떻게 지내 (Prod. By VAN.C),오반(OVAN),어떻게 지내,"랩/힙합, 인디음악"
45,에필로그,아이유,IU 5th Album 'LILAC',발라드
46,멜로디,ASH ISLAND,멜로디,랩/힙합
47,아로하,조정석,슬기로운 의사생활 OST Part 3,"발라드, 국내드라마"
48,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각),발라드
49,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,댄스
50,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,"R&B/Soul, 인디음악"
51,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,"발라드, 인디음악"
52,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,발라드
53,라라라,SG 워너비,My Friend,발라드
54,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),발라드
55,How You Like That,BLACKPINK,How You Like That,댄스
56,마음을 드려요,아이유,사랑의 불시착 OST Part 11,"발라드, 국내드라마"
57,함께 했는데 이별은 나 혼자인 거야,이소정,함께 했는데 이별은 나 혼자인 거야,발라드
58,Memories,Maroon 5,JORDI (Deluxe),POP
59,내사람,SG 워너비,The Precious History,R&B/Soul
60,되풀이,임창정,펜트하우스2 OST Part.1,"발라드, 국내드라마"
61,빈 컵 (Empty Cup),아이유,IU 5th Album 'LILAC',R&B/Soul
62,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,댄스
63,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요/트로트
64,Love poem,아이유,Love poem,록/메탈
65,Dance Monkey,Tones And I,The Kids Are Coming,POP
66,When We Disco (Duet with 선미),박진영,When We Disco,댄스
67,혼술하고 싶은 밤,벤,혼술하고 싶은 밤,발라드
68,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)),"발라드, 인디음악"
69,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3,랩/힙합
70,너를 만나,폴킴,너를 만나,발라드
71,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,"록/메탈, 국내드라마"
72,서면역에서,순순희,서면역에서,"발라드, 인디음악"
73,우린 어쩌다 헤어진 걸까,허각,Hello,발라드
74,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,발라드
75,I'm Not Cool,현아,I’m Not Cool,댄스
76,그 한마디 (바른연애 길잡이 X 이하이),이하이,그 한마디 (바른연애 길잡이 X 이하이),발라드
77,어떤X (What Type of X),제시 (Jessi),어떤X (What Type of X),랩/힙합
78,Paris in the Rain,Lauv,I met you when I was 18. (the playlist),POP
79,술 한잔 해요,"경서 (경서예지), MJ (써니사이드)",술 한잔 해요,발라드
80,안녕,폴킴,호텔 델루나 OST Part.10,"발라드, 국내드라마"
81,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어,발라드
82,Downtown Baby,블루 (BLOO),Downtown Baby,"랩/힙합, 인디음악"
83,Don't Start Now,Dua Lipa,Future Nostalgia,POP
84,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,랩/힙합
85,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga),댄스
86,마리아 (Maria),화사 (HWASA),María,댄스
87,사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적,발라드
88,Don't Call Me,SHINee (샤이니),Don't Call Me - The 7th Album,댄스
89,꼬리 (TAIL),선미,꼬리 (TAIL),댄스
90,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고,발라드
91,서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA)),윤하 (YOUNHA),서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA)),발라드
92,Maniac,Conan Gray,Maniac,POP
93,안녕이란 (Two Letters),황치열,Be My Reason,발라드
94,Panorama,IZ*ONE (아이즈원),One-reeler / Act IV,댄스
