순위,곡명,가수,앨범,장르
84,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3,랩/힙합
85,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어,발라드
86,되풀이,임창정,펜트하우스2 OST Part.1,"발라드, 국내드라마"
87,돌림노래 (Feat. DEAN),아이유,IU 5th Album 'LILAC',R&B/Soul
88,서면역에서,순순희,서면역에서,"발라드, 인디음악"
89,Downtown Baby,블루 (BLOO),Downtown Baby,"랩/힙합, 인디음악"
90,Maniac,Conan Gray,Maniac,POP
91,안녕,폴킴,호텔 델루나 OST Part.10,"발라드, 국내드라마"
92,맛 (Hot Sauce),NCT DREAM,맛 (Hot Sauce) - The 1st Album,랩/힙합
93,아리랑,SG 워너비,The Sentimental Chord,R&B/Soul
94,Gone,로제 (ROSÉ),R,포크/블루스
95,사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적,발라드
96,술 한잔 해요,"경서 (경서예지), MJ (써니사이드)",술 한잔 해요,발라드
97,에필로그,아이유,IU 5th Album 'LILAC',발라드
98,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga),댄스
99,마리아 (Maria),화사 (HWASA),María,댄스
100,불어온다,하이라이트 (HIGHLIGHT),The Blowing,댄스
