순위,곡명,가수,앨범,장르
1,롤린 (Rollin'),브레이브걸스,Rollin',댄스
2,Celebrity,아이유,IU 5th Album 'LILAC',댄스
3,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지","LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",댄스
4,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
5,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),발라드
6,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,R&B/Soul
7,On The Ground,로제 (ROSÉ),R,록/메탈
8,내 손을 잡아,아이유,최고의 사랑 OST Part.4,"발라드, 국내드라마"
9,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (MIRANI), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1,랩/힙합
10,잠이 오질 않네요,장범준,잠이 오질 않네요,발라드
11,Lovesick Girls,BLACKPINK,THE ALBUM,댄스
12,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),발라드
13,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),발라드
14,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),발라드
15,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,록/메탈
16,Blueming,아이유,Love poem,록/메탈
17,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,"록/메탈, 국내드라마"
18,오래된 노래,스탠딩 에그,오래된 노래,"인디음악, 포크/블루스"
19,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,발라드
20,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,발라드
21,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
22,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각),발라드
23,사실 나는 (Feat.전건호),경서예지,사실 나는,발라드
24,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단",Savage Love (Laxed - Siren Beat) [BTS Remix],POP
25,Life Goes On,방탄소년단,BE,랩/힙합
26,METEOR,창모 (CHANGMO),Boyhood,랩/힙합
27,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"발라드, 국내드라마"
28,라일락,아이유,IU 5th Album 'LILAC',댄스
29,Gone,로제 (ROSÉ),R,포크/블루스
30,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),발라드
31,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,댄스
32,어떻게 지내 (Prod. By VAN.C),오반(OVAN),어떻게 지내,"랩/힙합, 인디음악"
33,I'm Not Cool,현아,I’m Not Cool,댄스
34,2002,Anne-Marie,Speak Your Mind (Deluxe),POP
35,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,발라드
36,How You Like That,BLACKPINK,How You Like That,댄스
37,아로하,조정석,슬기로운 의사생활 OST Part 3,"발라드, 국내드라마"
38,혼술하고 싶은 밤,벤,혼술하고 싶은 밤,발라드
39,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,"R&B/Soul, 인디음악"
