year,rank,song_id,album_id
2024,1,37140709,11391902
2024,2,37138469,11402655
2024,3,37524037,11487023
2024,4,37145732,11404142
2024,5,31927275,10307346
2024,6,37023625,11376816
2024,7,30232719,10036099
2024,8,37347911,11450069
2024,9,37228861,11421941
2024,10,37373234,11454681
2024,11,37003911,11372896
2024,12,37053556,11382987
2024,13,36699489,11305759
2024,14,37390939,11459325
2024,15,37563682,11475749
2024,16,37194943,11415997
2024,17,37323943,11444397
2024,18,36382580,11227533
2024,19,37460832,11474894
2024,20,36956630,11362544
2024,21,36356993,11211297
2024,22,34451383,10821699
2024,23,35454426,11011565
2024,24,36910957,11352904
2024,25,37098744,11394065
2024,26,37463572,11475530
2024,27,4446485,2232505
2024,28,36617841,11286070
2024,29,32061975,10331947
2024,30,37344905,11449278
2024,31,34061322,10735654
2024,32,37657039,11517951
2024,33,35945927,11127145
2024,34,34657844,10871162
2024,35,37464459,11475749
2024,36,36635522,11281456
2024,37,36599950,11281456
2024,38,37323944,11444397
2024,39,36616378,11285867
2024,40,31666417,10260858
2024,41,37524038,11487023
2024,42,36713849,11309190
2024,43,37225604,11407156
2024,44,34819473,10903868
2024,45,36717264,11309832
2024,46,38120327,11619809
2024,47,37069064,11386568
2024,48,30962526,10149492
2024,49,34431086,10816959
2024,50,33496587,10610525
2024,51,36430773,11240232
2024,52,36930793,11356868
2024,53,37064763,11385577
2024,54,36416114,11236264
2024,55,36110996,11166539
2024,56,35454425,11011565
2024,57,37737619,11533515
2024,58,34908740,10923444
2024,59,37693124,11525661
2024,60,34847378,10909179
2024,61,32872978,10479150
2024,62,36595401,11280645
2024,63,35985167,11127145
2024,64,37373808,11454802
2024,65,30244931,10037969
2024,66,36502910,11258233
2024,67,36871671,11333459
2024,68,36334401,11215072
2024,69,36852553,11339556
2024,70,35008524,10923444
2024,71,37225606,11407156
2024,72,37248283,11427101
2024,73,36180700,11180278
2024,74,37222942,11404142
2024,75,36062335,11154218
2024,76,32508053,10412319
2024,77,4352438,2219671
2024,78,38123332,11620540
2024,79,36713850,11309190
2024,80,36391236,11229537
2024,81,36855841,11340391
2024,82,35008525,10923444
2024,83,36318125,11211297
2024,84,37375706,11455285
2024,85,37138464,11402655
2024,86,35252996,10975276
2024,87,35834583,11102375
2024,88,38077932,11610170
2024,89,36778869,11323044
2024,90,36440243,11242411
2024,91,38022274,11580909
2024,92,37051616,11382496
2024,93,36404853,11233031
2024,94,35834584,11102375
2024,95,37640352,11456179
2024,96,35008534,10923444
2024,97,35546497,11034298
2024,98,37248286,11427101
2024,99,37884934,11564698
2024,100,37138471,11402655
2023,1,35945927,11127145
2023,2,35454426,11011565
2023,3,36356993,11211297
2023,4,35985167,11127145
2023,5,34819473,10903868
2023,6,36318125,11211297
2023,7,36430773,11240232
2023,8,35454425,11011565
2023,9,36382580,11227533
2023,10,35546497,11034298
2023,11,36416114,11236264
2023,12,35729104,11078496
2023,13,34847378,10909179
2023,14,36599950,11281456
2023,15,36110996,11166539
2023,16,36411342,11234678
2023,17,36331121,11214411
2023,18,34061322,10735654
2023,19,4446485,2232505
2023,20,34657844,10871162
2023,21,36105548,11165170
2023,22,36617841,11286070
2023,23,36180700,11180278
2023,24,36411344,11234678
2023,25,35931532,11124139
2023,26,36635522,11281456
2023,27,35252996,10975276
2023,28,34431086,10816959
2023,29,36391236,11229537
2023,30,35730562,11078852
2023,31,36713849,11309190
2023,32,34908740,10923444
2023,33,35643794,11057545
2023,34,32872978,10479150
2023,35,33496587,10610525
2023,36,34754292,10890384
2023,37,36001290,11140018
2023,38,35008524,10923444
2023,39,36404853,11233031
2023,40,35595136,11045985
2023,41,36334401,11215072
2023,42,30244931,10037969
2023,43,36034936,11146937
2023,44,33507137,10612483
2023,45,35640077,11033394
2023,46,35361345,10995477
2023,47,34787226,10897407
2023,48,36713850,11309190
2023,49,36206259,11188020
2023,50,30962526,10149492
2023,51,32508053,10412319
2023,52,35953611,11128774
2023,53,36616378,11285867
2023,54,34927767,10925762
2023,55,35542908,11033394
2023,56,34349913,10798794
2023,57,35009233,10939458
2023,58,31666417,10260858
2023,59,35937396,11125247
2023,60,35485544,11011565
2023,61,36206208,11188007
2023,62,35008525,10923444
2023,63,35383397,11000171
2023,64,36681074,11300771
2023,65,35834583,11102375
2023,66,36145589,11175689
2023,67,35008527,10923444
2023,68,35834584,11102375
2023,69,34270805,10778556
2023,70,36440243,11242411
2023,71,33666269,10648182
2023,72,36761467,11315612
2023,73,32061975,10331947
2023,74,34943312,10929486
2023,75,35299693,10984354
2023,76,36351997,11219412
2023,77,36365073,11222887
2023,78,36599949,11281456
2023,79,35008534,10923444
2023,80,35665282,11062364
2023,81,36394038,11230265
2023,82,36313117,11205764
2023,83,35920493,11121346
2023,84,36266615,11201031
2023,85,35890454,11115359
2023,86,33061995,10518234
2023,87,35008528,10923444
2023,88,31343875,10210149
2023,89,35668899,11063205
2023,90,36595401,11280645
2023,91,36430774,11240232
2023,92,36518341,11262009
2023,93,36428682,11239639
2023,94,36502910,11258233
2023,95,34875621,10916904
2023,96,418168,28985
2023,97,35730698,11078887
2023,98,34997078,10937474
2023,99,35685439,11067591
2023,100,34845949,10908834
2022,1,34847378,10909179
2022,2,34754292,10890384
2022,3,34431086,10816959
2022,4,34657844,10871162
2022,5,34061322,10735654
2022,6,34349913,10798794
2022,7,34845949,10908834
2022,8,33496587,10610525
2022,9,34997078,10937474
2022,10,34927767,10925762
2022,11,33480898,10607796
2022,12,34626109,10863559
2022,13,34256568,10775252
2022,14,34772475,10894554
2022,15,35454426,11011565
2022,16,34752700,10889981
2022,17,35454425,11011565
2022,18,35546497,11034298
2022,19,34943312,10929486
2022,20,35383397,11000171
2022,21,34875621,10916904
2022,22,33487342,10609232
2022,23,34298499,10784974
2022,24,34481680,10827816
2022,25,34101563,10743453
2022,26,4446485,2232505
2022,27,34787226,10897407
2022,28,34701627,10880544
2022,29,33978183,10716399
2022,30,32872978,10479150
2022,31,35383398,11000171
2022,32,34538515,10842611
2022,33,33655994,10645654
2022,34,35009233,10939458
2022,35,33507137,10612483
2022,36,35542908,11033394
2022,37,34599917,10857681
2022,38,33061995,10518234
2022,39,35595136,11045985
2022,40,34398735,10810162
2022,41,30962526,10149492
2022,42,34360855,10801677
2022,43,32508053,10412319
2022,44,32698101,10447520
2022,45,3414749,1286252
2022,46,33666269,10648182
2022,47,34908740,10923444
2022,48,33625988,10638275
