순위,곡명,가수,앨범,장르
1,TOO BAD (feat. Anderson .Paak),G-DRAGON,Übermensch,랩/힙합
2,모르시나요(PROD.로코베리),조째즈,모르시나요,발라드
3,like JENNIE,제니 (JENNIE),Ruby,댄스
4,Drowning,WOODZ,OO-LI,록/메탈
5,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",랩/힙합
6,나는 반딧불,황가람,나는 반딧불,발라드
7,REBEL HEART,IVE (아이브),IVE EMPATHY,댄스
8,Whiplash,aespa,Whiplash - The 5th Mini Album,댄스
9,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,댄스
10,APT.,"로제 (ROSÉ), Bruno Mars",APT.,댄스
11,HAPPY,DAY6 (데이식스),Fourever,록/메탈
12,HOT,LE SSERAFIM (르세라핌),HOT,댄스
13,ATTITUDE,IVE (아이브),IVE EMPATHY,댄스
14,Flower,오반(OVAN),교회오빠,"발라드, 인디음악"
15,toxic till the end,로제 (ROSÉ),rosie,록/메탈
16,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,발라드
17,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,"발라드, 국내드라마"
18,I DO ME,KiiiKiii (키키),UNCUT GEM,댄스
19,미치게 그리워서,황가람,미치게 그리워서,발라드
20,PO￦ER,G-DRAGON,PO￦ER,랩/힙합
21,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,록/메탈
22,Welcome to the Show,DAY6 (데이식스),Fourever,록/메탈
23,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),발라드
24,Supernova,aespa,Armageddon - The 1st Album,댄스
25,Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,POP
26,TAKE ME,G-DRAGON,Übermensch,댄스
27,예뻤어,DAY6 (데이식스),Every DAY6 February,록/메탈
28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
29,청춘만화,이무진,만화 (滿花),록/메탈
30,DRIP,BABYMONSTER,DRIP,댄스
31,슬픈 초대장,순순희(지환),슬픈 초대장,"발라드, 인디음악"
32,Love wins all,아이유,The Winning,발라드
33,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,댄스
34,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),발라드
35,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',록/메탈
36,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,발라드
37,MY LOVE(2025),"이예은, 아샤트리, 전건호",MY LOVE(2025),발라드
38,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
39,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
40,고민중독,QWER,1st Mini Album 'MANITO',록/메탈
41,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,댄스
42,비의 랩소디,임재현,비의 랩소디,발라드
