순위,곡명,가수,앨범,장르
1,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",랩/힙합
2,APT.,"로제 (ROSÉ), Bruno Mars",APT.,댄스
3,Whiplash,aespa,Whiplash - The 5th Mini Album,댄스
4,나는 반딧불,황가람,나는 반딧불,발라드
5,toxic till the end,로제 (ROSÉ),rosie,록/메탈
6,HAPPY,DAY6 (데이식스),Fourever,록/메탈
7,PO￦ER,G-DRAGON,PO￦ER,랩/힙합
8,너와의 모든 지금,재쓰비 (JAESSBEE),너와의 모든 지금,댄스
9,Drowning,WOODZ,OO-LI,록/메탈
10,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,발라드
11,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,댄스
12,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',록/메탈
13,Welcome to the Show,DAY6 (데이식스),Fourever,록/메탈
14,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,"발라드, 국내드라마"
15,Supernova,aespa,Armageddon - The 1st Album,댄스
16,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,록/메탈
17,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),발라드
18,DRIP,BABYMONSTER,DRIP,댄스
19,슬픈 초대장,순순희(지환),슬픈 초대장,"발라드, 인디음악"
20,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
21,Mantra,제니 (JENNIE),Mantra,댄스
22,고민중독,QWER,1st Mini Album 'MANITO',록/메탈
23,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,댄스
24,예뻤어,DAY6 (데이식스),Every DAY6 February,록/메탈
25,Love wins all,아이유,The Winning,발라드
26,How Sweet,NewJeans,How Sweet,댄스
27,REBEL HEART,IVE (아이브),IVE EMPATHY,댄스
28,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,댄스
29,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,댄스
30,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
31,Supersonic,프로미스나인,Supersonic,댄스
32,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),발라드
33,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',발라드
34,Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy,랩/힙합
35,비의 랩소디,임재현,비의 랩소디,발라드
36,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,"발라드, 국내드라마"
37,Magnetic,아일릿(ILLIT),SUPER REAL ME,댄스
38,에피소드,이무진,에피소드,록/메탈
39,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
40,number one girl,로제 (ROSÉ),number one girl,발라드
41,헤어지자 말해요,박재정,1집 Alone,발라드
42,Igloo,KISS OF LIFE,Lose Yourself,랩/힙합
43,Ditto,NewJeans,NewJeans 'OMG',댄스
44,I AM,IVE (아이브),I've IVE,댄스
45,인사,범진,인사,"발라드, 인디음악"
