순위,곡명,가수,앨범,장르
1,TOO BAD (feat. Anderson .Paak),G-DRAGON,Übermensch,랩/힙합
2,모르시나요(PROD.로코베리),조째즈,모르시나요,발라드
3,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",랩/힙합
4,REBEL HEART,IVE (아이브),IVE EMPATHY,댄스
5,Drowning,WOODZ,OO-LI,록/메탈
6,나는 반딧불,황가람,나는 반딧불,발라드
7,Whiplash,aespa,Whiplash - The 5th Mini Album,댄스
8,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,댄스
9,APT.,"로제 (ROSÉ), Bruno Mars",APT.,댄스
10,like JENNIE,제니 (JENNIE),Ruby,댄스
11,ATTITUDE,IVE (아이브),IVE EMPATHY,댄스
12,toxic till the end,로제 (ROSÉ),rosie,록/메탈
13,HAPPY,DAY6 (데이식스),Fourever,록/메탈
14,PO￦ER,G-DRAGON,PO￦ER,랩/힙합
15,TAKE ME,G-DRAGON,Übermensch,댄스
16,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,발라드
17,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,"발라드, 국내드라마"
18,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),발라드
19,DRIP,BABYMONSTER,DRIP,댄스
20,Supernova,aespa,Armageddon - The 1st Album,댄스
21,Welcome to the Show,DAY6 (데이식스),Fourever,록/메탈
22,미치게 그리워서,황가람,미치게 그리워서,발라드
23,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,록/메탈
24,슬픈 초대장,순순희(지환),슬픈 초대장,"발라드, 인디음악"
25,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,댄스
26,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
27,I DO ME,KiiiKiii (키키),UNCUT GEM,댄스
28,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',록/메탈
29,예뻤어,DAY6 (데이식스),Every DAY6 February,록/메탈
30,Love wins all,아이유,The Winning,발라드
31,청춘만화,이무진,만화 (滿花),록/메탈
32,Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,POP
33,너와의 모든 지금,재쓰비 (JAESSBEE),너와의 모든 지금,댄스
34,고민중독,QWER,1st Mini Album 'MANITO',록/메탈
35,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),발라드
36,How Sweet,NewJeans,How Sweet,댄스
37,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
38,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,댄스
39,비의 랩소디,임재현,비의 랩소디,발라드
40,Mantra,제니 (JENNIE),Mantra,댄스
41,DRAMA,G-DRAGON,Übermensch,발라드
42,Dash,PLAVE,Caligo Pt.1,록/메탈
43,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,댄스
44,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,발라드
