순위,곡명,가수,앨범,장르
1,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),애니메이션/웹툰
2,FAMOUS,ALLDAY PROJECT,FAMOUS,댄스
3,Dirty Work,aespa,Dirty Work,댄스
4,Drowning,WOODZ,OO-LI,록/메탈
5,Soda Pop,"KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee",KPop Demon Hunters (Soundtrack from the Netflix Film),애니메이션/웹툰
6,너에게 닿기를,10CM,너에게 닿기를,록/메탈
7,시작의 아이,마크툽 (MAKTUB),시작의 아이 ハジマリのコ (Starting With You),"R&B/Soul, 인디음악"
8,모르시나요(PROD.로코베리),조째즈,모르시나요,발라드
9,뛰어(JUMP),BLACKPINK,뛰어(JUMP),댄스
10,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘,발라드
11,Whiplash,aespa,Whiplash - The 5th Mini Album,댄스
12,like JENNIE,제니 (JENNIE),Ruby,댄스
13,Never Ending Story,아이유,꽃갈피 셋,발라드
14,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",랩/힙합
15,WICKED,ALLDAY PROJECT,FAMOUS,랩/힙합
16,나는 반딧불,황가람,나는 반딧불,발라드
17,청춘만화,이무진,만화 (滿花),록/메탈
18,Your Idol,"KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee",KPop Demon Hunters (Soundtrack from the Netflix Film),애니메이션/웹툰
19,APT.,"로제 (ROSÉ), Bruno Mars",APT.,댄스
20,TOO BAD (feat. Anderson .Paak),G-DRAGON,Übermensch,랩/힙합
21,HANDS UP,MEOVV (미야오),MY EYES OPEN VVIDE,댄스
22,HAPPY,DAY6 (데이식스),Fourever,록/메탈
23,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,댄스
24,눈물참기,QWER,"3rd Mini Album '난 네 편이야, 온 세상이 불협일지라도'",록/메탈
25,REBEL HEART,IVE (아이브),IVE EMPATHY,댄스
26,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,록/메탈
27,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,"발라드, 국내드라마"
28,Flower,오반(OVAN),교회오빠,"발라드, 인디음악"
29,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),발라드
30,Supernova,aespa,Armageddon - The 1st Album,댄스
31,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,발라드
32,빌려온 고양이 (Do the Dance),아일릿(ILLIT),bomb,댄스
33,LIKE YOU BETTER,프로미스나인,From Our 20's,댄스
34,Welcome to the Show,DAY6 (데이식스),Fourever,록/메탈
35,MY LOVE(2025),"이예은, 아샤트리, 전건호",MY LOVE(2025),발라드
36,toxic till the end,로제 (ROSÉ),rosie,록/메탈
37,예뻤어,DAY6 (데이식스),Every DAY6 February,록/메탈
38,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
39,Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,POP
40,HOT,LE SSERAFIM (르세라핌),HOT,댄스
41,네모의 꿈,아이유,꽃갈피 셋,발라드
42,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',록/메탈
43,고민중독,QWER,1st Mini Album 'MANITO',록/메탈
44,STYLE,Hearts2Hearts (하츠투하츠),STYLE,댄스
45,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),발라드
46,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,댄스
47,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),애니메이션/웹툰
48,DRIP,BABYMONSTER,DRIP,댄스
49,ATTITUDE,IVE (아이브),IVE EMPATHY,댄스
50,Pookie,FIFTY FIFTY,Day & Night,댄스
51,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,댄스
52,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,발라드
53,THUNDER,세븐틴 (SEVENTEEN),SEVENTEEN 5th Album ‘HAPPY BURSTDAY’,댄스
54,Supersonic,프로미스나인,Supersonic,댄스
55,Love wins all,아이유,The Winning,발라드
56,Magnetic,아일릿(ILLIT),SUPER REAL ME,댄스
57,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
58,미치게 그리워서,황가람,미치게 그리워서,발라드
59,슬픈 초대장,순순희(지환),슬픈 초대장,"발라드, 인디음악"
60,주저하는 연인들을 위해,잔나비,전설,"인디음악, 록/메탈"
61,I DO ME,KiiiKiii (키키),UNCUT GEM,댄스
62,PO￦ER,G-DRAGON,PO￦ER,랩/힙합
63,에피소드,이무진,에피소드,록/메탈
64,How Sweet,NewJeans,How Sweet,댄스
65,I AM,IVE (아이브),I've IVE,댄스
66,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
67,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,댄스
68,비의 랩소디,임재현,비의 랩소디,발라드
69,Sticky,KISS OF LIFE,Sticky,댄스
70,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
71,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"발라드, 국내드라마"
72,그날이 오면,투모로우바이투게더,언젠가는 슬기로울 전공의생활 OST Part 9,"댄스, 국내드라마"
73,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
74,헤어지자 말해요,박재정,1집 Alone,발라드
75,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,댄스
76,인사,범진,인사,"발라드, 인디음악"
77,123-78,BOYNEXTDOOR,No Genre,댄스
78,Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy,랩/힙합
79,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,발라드
80,"무제(無題) (Untitled, 2014)",G-DRAGON,권지용,R&B/Soul
81,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
82,The Chase,Hearts2Hearts (하츠투하츠),The Chase,댄스
83,여름이었다,H1-KEY (하이키),H1-KEY 4th Mini Album [Lovestruck],댄스
84,영원해,도경수(D.O.),언젠가는 슬기로울 전공의생활 OST Part 6,"발라드, 국내드라마"
85,취중고백,김민석,취중고백,발라드
86,TAKE ME,G-DRAGON,Übermensch,댄스
87,Armageddon,aespa,Armageddon - The 1st Album,댄스
88,봄날,방탄소년단,YOU NEVER WALK ALONE,랩/힙합
89,Fly Up,RIIZE,ODYSSEY - The 1st Album,댄스
90,Ditto,NewJeans,NewJeans 'OMG',댄스
91,Mantra,제니 (JENNIE),Mantra,댄스
92,이렇게 좋아해 본 적이 없어요,BOYNEXTDOOR,이렇게 좋아해 본 적이 없어요 (소녀의 세계 X BOYNEXTDOOR),발라드
93,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE (트와이스),KPop Demon Hunters (Soundtrack from the Netflix Film),애니메이션/웹툰
94,Free,"EJAE, KPop Demon Hunters Cast, Andrew Choi, Rumi, Jinu",KPop Demon Hunters (Soundtrack from the Netflix Film),애니메이션/웹툰
95,너와의 모든 지금,재쓰비 (JAESSBEE),너와의 모든 지금,댄스
96,우리들의 블루스,임영웅,IM HERO,발라드
97,Dash,PLAVE,Caligo Pt.1,록/메탈
98,천국보다 아름다운,임영웅,천국보다 아름다운,발라드
99,다시 만날 수 있을까,임영웅,IM HERO,발라드
100,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요/트로트
