순위,곡명,가수,앨범,장르
1,HAPPY,DAY6 (데이식스),Fourever,록/메탈
2,Supernova,aespa,Armageddon - The 1st Album,댄스
3,Welcome to the Show,DAY6 (데이식스),Fourever,록/메탈
4,녹아내려요,DAY6 (데이식스),Band Aid,록/메탈
5,클락션 (Klaxon),i-dle (아이들),I SWAY,댄스
6,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,록/메탈
7,How Sweet,NewJeans,How Sweet,댄스
8,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,"발라드, 국내드라마"
9,Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy,랩/힙합
10,Sticky,KISS OF LIFE,Sticky,댄스
11,예뻤어,DAY6 (데이식스),Every DAY6 February,록/메탈
12,Supernatural,NewJeans,Supernatural,J-POP
13,고민중독,QWER,1st Mini Album 'MANITO',록/메탈
14,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,댄스
15,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),발라드
16,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,댄스
17,Supersonic,프로미스나인,Supersonic,댄스
18,Magnetic,아일릿(ILLIT),SUPER REAL ME,댄스
19,Armageddon,aespa,Armageddon - The 1st Album,댄스
20,Bubble Gum,NewJeans,How Sweet,댄스
21,해야 (HEYA),IVE (아이브),IVE SWITCH,댄스
22,슬픈 초대장,순순희(지환),슬픈 초대장,"발라드, 인디음악"
23,SPOT! (feat. JENNIE),지코 (ZICO),SPOT!,랩/힙합
24,Love wins all,아이유,The Winning,발라드
25,에피소드,이무진,에피소드,록/메탈
26,비의 랩소디,임재현,비의 랩소디,발라드
27,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,"발라드, 국내드라마"
28,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),발라드
29,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
30,Boom Boom Bass,RIIZE,RIIZING - The 1st Mini Album,댄스
31,헤어지자 말해요,박재정,1집 Alone,발라드
32,별별별 (See that?),NMIXX,Fe3O4: STICK OUT,댄스
33,I AM,IVE (아이브),I've IVE,댄스
34,내가 S면 넌 나의 N이 되어줘,TWS (투어스),TWS 2nd Mini Album ‘SUMMER BEAT!’,댄스
35,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
