순위,곡명,가수,앨범,장르
1,Supernova,aespa,Armageddon - The 1st Album,댄스
2,How Sweet,NewJeans,How Sweet,댄스
3,Bubble Gum,NewJeans,How Sweet,댄스
4,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,"발라드, 국내드라마"
5,SPOT! (feat. JENNIE),지코 (ZICO),SPOT!,랩/힙합
6,고민중독,QWER,1st Mini Album 'MANITO',록/메탈
7,해야 (HEYA),IVE (아이브),IVE SWITCH,댄스
8,Magnetic,아일릿(ILLIT),SUPER REAL ME,댄스
9,Armageddon,aespa,Armageddon - The 1st Album,댄스
10,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,댄스
11,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,댄스
12,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,"발라드, 국내드라마"
13,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,록/메탈
14,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),발라드
15,예뻤어,DAY6 (데이식스),Every DAY6 February,록/메탈
16,에피소드,이무진,에피소드,록/메탈
17,SHEESH,BABYMONSTER,BABYMONS7ER,R&B/Soul
18,Love wins all,아이유,The Winning,발라드
19,비의 랩소디,임재현,비의 랩소디,발라드
20,밤양갱,비비 (BIBI),밤양갱,R&B/Soul
21,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
22,Welcome to the Show,DAY6 (데이식스),Fourever,록/메탈
23,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),발라드
24,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,R&B/Soul
25,I AM,IVE (아이브),I've IVE,댄스
26,ETA,NewJeans,NewJeans 2nd EP 'Get Up',댄스
27,Drama,aespa,Drama - The 4th Mini Album,댄스
28,Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy,랩/힙합
29,헤어지자 말해요,박재정,1집 Alone,발라드
30,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',댄스
31,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,댄스
32,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
33,슬픈 초대장,순순희(지환),슬픈 초대장,"발라드, 인디음악"
34,Ditto,NewJeans,NewJeans 'OMG',댄스
35,MAESTRO,세븐틴 (SEVENTEEN),SEVENTEEN BEST ALBUM ‘17 IS RIGHT HERE',댄스
36,그랬나봐,유회승 (엔플라잉),선재 업고 튀어 OST Part 6,"발라드, 국내드라마"
37,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
38,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
39,Spicy,aespa,MY WORLD - The 3rd Mini Album,댄스
40,Attention,NewJeans,NewJeans 1st EP 'New Jeans',댄스
41,인사,범진,인사,"발라드, 인디음악"
42,봄눈,10CM,선재 업고 튀어 OST Part 8,"발라드, 국내드라마"
43,Accendio,IVE (아이브),IVE SWITCH,댄스
44,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,댄스
45,EASY,LE SSERAFIM (르세라핌),EASY,랩/힙합
46,Love 119,RIIZE,Love 119,댄스
47,Girls Never Die,tripleS (트리플에스),〈ASSEMBLE24〉,댄스
48,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,발라드
49,Midas Touch,KISS OF LIFE,Midas Touch,댄스
50,OMG,NewJeans,NewJeans 'OMG',댄스
51,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',댄스
52,Lucky Girl Syndrome,아일릿(ILLIT),SUPER REAL ME,댄스
53,Smart,LE SSERAFIM (르세라핌),EASY,R&B/Soul
54,퀸카 (Queencard),i-dle (아이들),I feel,댄스
55,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,발라드
56,주저하는 연인들을 위해,잔나비,전설,"인디음악, 록/메탈"
57,Love Lee,AKMU (악뮤),Love Lee,댄스
58,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',록/메탈
59,Get A Guitar,RIIZE,Get A Guitar,댄스
60,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',댄스
61,LOVE DIVE,IVE (아이브),LOVE DIVE,댄스
62,Run Run,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,"록/메탈, 국내드라마"
63,우리들의 블루스,임영웅,IM HERO,발라드
64,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
