순위,곡명,가수,앨범,장르
1,SPOT! (feat. JENNIE),지코 (ZICO),SPOT!,랩/힙합
2,Magnetic,아일릿(ILLIT),SUPER REAL ME,댄스
3,해야 (HEYA),IVE (아이브),IVE SWITCH,댄스
4,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,댄스
5,고민중독,QWER,1st Mini Album 'MANITO',록/메탈
6,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,댄스
7,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,"발라드, 국내드라마"
8,Supernova,aespa,Armageddon - The 1st Album,댄스
9,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),발라드
10,SHEESH,BABYMONSTER,BABYMONS7ER,R&B/Soul
11,밤양갱,비비 (BIBI),밤양갱,R&B/Soul
12,예뻤어,DAY6 (데이식스),Every DAY6 February,록/메탈
13,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,록/메탈
14,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,"발라드, 국내드라마"
15,Love wins all,아이유,The Winning,발라드
16,비의 랩소디,임재현,비의 랩소디,발라드
17,에피소드,이무진,에피소드,록/메탈
18,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,R&B/Soul
19,MAESTRO,세븐틴 (SEVENTEEN),SEVENTEEN BEST ALBUM ‘17 IS RIGHT HERE',댄스
20,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),발라드
21,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
22,EASY,LE SSERAFIM (르세라핌),EASY,랩/힙합
23,Smart,LE SSERAFIM (르세라핌),EASY,R&B/Soul
24,헤어지자 말해요,박재정,1집 Alone,발라드
25,I AM,IVE (아이브),I've IVE,댄스
26,Drama,aespa,Drama - The 4th Mini Album,댄스
27,Welcome to the Show,DAY6 (데이식스),Fourever,록/메탈
28,ETA,NewJeans,NewJeans 2nd EP 'Get Up',댄스
29,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',댄스
30,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
31,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,댄스
32,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,댄스
33,Ditto,NewJeans,NewJeans 'OMG',댄스
34,인사,범진,인사,"발라드, 인디음악"
35,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
36,Love 119,RIIZE,Love 119,댄스
37,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
38,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',댄스
39,홀씨,아이유,The Winning,랩/힙합
40,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,발라드
41,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',댄스
42,How Sweet,NewJeans,How Sweet,댄스
43,Love Lee,AKMU (악뮤),Love Lee,댄스
44,OMG,NewJeans,NewJeans 'OMG',댄스
45,Midas Touch,KISS OF LIFE,Midas Touch,댄스
46,꿈,태연 (TAEYEON),웰컴투 삼달리 OST Part.3,"발라드, 국내드라마"
47,퀸카 (Queencard),i-dle (아이들),I feel,댄스
