순위,곡명,가수,앨범,장르
1,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',록/메탈
2,Nxde,i-dle (아이들),I love,댄스
3,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,댄스
4,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
5,After LIKE,IVE (아이브),After LIKE,댄스
6,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),랩/힙합
7,Attention,NewJeans,NewJeans 1st EP 'New Jeans',댄스
8,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour,R&B/Soul
9,Monologue,테이,Monologue,발라드
10,LOVE DIVE,IVE (아이브),LOVE DIVE,댄스
11,Shut Down,BLACKPINK,BORN PINK,랩/힙합
12,Pink Venom,BLACKPINK,BORN PINK,랩/힙합
13,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES,랩/힙합
14,딱 10CM만,"10CM, BIG Naughty (서동현)",딱 10CM만,R&B/Soul
15,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,발라드
16,해요 (2022),#안녕,해요 (2022),"발라드, 인디음악"
17,TOMBOY,i-dle (아이들),I NEVER DIE,록/메탈
18,그라데이션,10CM,5.3,"인디음악, 포크/블루스"
19,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈",우린 그렇게 사랑해서,발라드
20,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
21,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
22,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',댄스
23,내가 아니라도,주호,내가 아니라도,발라드
24,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,R&B/Soul
25,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
26,보고싶었어,WSG워너비(4FIRE),WSG워너비 1집,R&B/Soul
27,나의 X에게,경서,나의 X에게,발라드
28,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,댄스
29,ELEVEN,IVE (아이브),ELEVEN,댄스
30,취중고백,김민석,취중고백,발라드
31,That's Hilarious,Charlie Puth,CHARLIE,POP
