순위,곡명,가수,앨범,장르
1,INVU,태연 (TAEYEON),INVU - The 3rd Album,댄스
2,취중고백,김민석,취중고백,발라드
3,GANADARA (Feat. 아이유),박재범,GANADARA,R&B/Soul
4,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까,발라드
5,TOMBOY,i-dle (아이들),I NEVER DIE,록/메탈
6,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
7,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2,발라드
8,RUN2U,STAYC(스테이씨),YOUNG-LUV.COM,댄스
9,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
10,19금 abcdefu,GAYLE,abcdefu,POP
11,ELEVEN,IVE (아이브),ELEVEN,댄스
12,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY),댄스
13,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,랩/힙합
14,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
15,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))",발라드
16,Step Back,GOT the beat,Step Back,댄스
17,신호등,이무진,신호등,록/메탈
18,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3,랩/힙합
19,어제처럼,폴킴,어제처럼,발라드
20,STAY,"The Kid LAROI, Justin Bieber",Stay,POP
21,호랑수월가,탑현,호랑수월가,발라드
22,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),발라드
23,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars,랩/힙합
24,Next Level,aespa,Next Level,댄스
25,strawberry moon,아이유,strawberry moon,록/메탈
26,드라마,아이유,조각집,발라드
27,Dreams Come True,aespa,Dreams Come True - SM STATION,댄스
28,Weekend,태연 (TAEYEON),Weekend,댄스
29,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4,"랩/힙합, 국내드라마"
30,너를 생각해,주시크 (Joosiq),너를 생각해,"R&B/Soul, 인디음악"
31,Savage,aespa,Savage - The 1st Mini Album,댄스
32,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick),쇼미더머니 10 Episode 3,랩/힙합
33,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,발라드
34,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT,랩/힙합
35,겨울잠,아이유,조각집,발라드
36,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
37,Butter,방탄소년단,Butter,댄스
38,Can't Control Myself,태연 (TAEYEON),Can't Control Myself,발라드
39,라일락,아이유,IU 5th Album 'LILAC',댄스
40,잊을 수 있을까,노을,이별을 말하는,발라드
41,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’,댄스
42,Celebrity,아이유,IU 5th Album 'LILAC',댄스
43,Permission to Dance,방탄소년단,Butter / Permission to Dance,댄스
44,서랍,10CM,그 해 우리는 OST Part.1,"발라드, 국내드라마"
45,내 생에 아름다운,이예준,내 생에 아름다운,발라드
46,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,랩/힙합
47,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요/트로트
48,문득,BE'O (비오),Bipolar,랩/힙합
49,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),Red Moon : Beyond The Light,"R&B/Soul, 인디음악"
