순위,곡명,가수,앨범,장르
1,취중고백,김민석,취중고백,발라드
2,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
3,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,랩/힙합
4,ELEVEN,IVE (아이브),ELEVEN,댄스
5,Step Back,GOT the beat,Step Back,댄스
6,호랑수월가,탑현,호랑수월가,발라드
7,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3,랩/힙합
8,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars,랩/힙합
9,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
10,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),발라드
11,Dreams Come True,aespa,Dreams Come True - SM STATION,댄스
12,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY),댄스
13,STAY,"The Kid LAROI, Justin Bieber",Stay,POP
14,Can't Control Myself,태연 (TAEYEON),Can't Control Myself,발라드
15,겨울잠,아이유,조각집,발라드
16,신호등,이무진,신호등,록/메탈
17,Next Level,aespa,Next Level,댄스
18,strawberry moon,아이유,strawberry moon,록/메탈
19,INVU,태연 (TAEYEON),INVU - The 3rd Album,댄스
20,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick),쇼미더머니 10 Episode 3,랩/힙합
21,19금 abcdefu,GAYLE,abcdefu,POP
22,Savage,aespa,Savage - The 1st Mini Album,댄스
23,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2,발라드
24,드라마,아이유,조각집,발라드
25,너를 생각해,주시크 (Joosiq),너를 생각해,"R&B/Soul, 인디음악"
26,Christmas Tree,V,그 해 우리는 OST Part.5,"발라드, 국내드라마"
27,흰눈,먼데이 키즈,흰눈,발라드
28,서랍,10CM,그 해 우리는 OST Part.1,"발라드, 국내드라마"
29,우리가 헤어져야 했던 이유,비비 (BIBI),그 해 우리는 OST Part.2,"발라드, 국내드라마"
30,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT,랩/힙합
31,Butter,방탄소년단,Butter,댄스
32,문득,BE'O (비오),Bipolar,랩/힙합
33,너 아니면 안돼,먼데이 키즈,너 아니면 안돼,발라드
34,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,발라드
35,Weekend,태연 (TAEYEON),Weekend,댄스
36,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
37,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Final,랩/힙합
38,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student,쇼미더머니 10 Semi Final,랩/힙합
39,Celebrity,아이유,IU 5th Album 'LILAC',댄스
40,언덕나무,이승윤,그 해 우리는 OST Part.7,"발라드, 국내드라마"
41,Permission to Dance,방탄소년단,Butter / Permission to Dance,댄스
42,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,록/메탈
43,라일락,아이유,IU 5th Album 'LILAC',댄스
44,사랑이 아니었다고 말하지 마요,이예준,사랑이 아니었다고 말하지 마요,발라드
45,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요/트로트
46,쉬어 (Feat. MINO) (Prod. GRAY),"아넌딜라이트(Anandelight), 이수린, BE'O (비오), 지구인, Mudd the student",쇼미더머니 10 Episode 1,랩/힙합
47,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),발라드
48,My Universe,"Coldplay, 방탄소년단",My Universe,POP
49,헤픈 우연,헤이즈 (Heize),HAPPEN,R&B/Soul
50,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,랩/힙합
51,Wake Up (Prod. 코드 쿤스트),"개코, 아우릴고트 (OUREALGOAT), SINCE, 안병웅, Tabber, 조광일, 코드 쿤스트 (CODE KUNST)",쇼미더머니 10 Episode 1,랩/힙합
52,Bad Habits,Ed Sheeran,=,POP
53,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),발라드
54,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),Red Moon : Beyond The Light,"R&B/Soul, 인디음악"
55,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"발라드, 국내드라마"
56,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
57,고백,멜로망스,세 번째 '고백',"발라드, 인디음악"
58,내 손을 잡아,아이유,최고의 사랑 OST Part.4,"발라드, 국내드라마"
59,잊을 수 있을까,노을,이별을 말하는,발라드
60,Good Night (Feat. BE'O),쿠기 (Coogie),RE:UP,랩/힙합
61,Off My Face,Justin Bieber,Justice (The Complete Edition),POP
62,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
63,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아,발라드
64,롤린 (Rollin'),브레이브걸스,Rollin',댄스
65,Blueming,아이유,Love poem,록/메탈
66,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,R&B/Soul
67,이별후회,김나영,그 해 우리는 OST Part.4,"발라드, 국내드라마"
68,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,댄스
69,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,"R&B/Soul, 인디음악"
70,여름비,샘김 (Sam Kim),그 해 우리는 OST Part.8,"포크/블루스, 국내드라마"
71,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56,성인가요/트로트
72,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),발라드
73,안녕 우린 헤어져야만 해,"전상근, 신예영",안녕 우린 헤어져야만 해,발라드
74,그대라는 사치,임영웅,사랑의 콜센타 PART62,발라드
75,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌,시간을 거슬러 (낮에 뜨는 달 X 케이윌),발라드
76,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,발라드
77,봄날,방탄소년단,YOU NEVER WALK ALONE,랩/힙합
78,Because,ASH ISLAND,Because,랩/힙합
79,대낮에 한 이별,"선예, 임슬옹",대낮에 한 이별,발라드
80,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))",발라드
81,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021),"발라드, 국내드라마"
82,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,댄스
83,잊었니,임영웅,사랑의 콜센타 PART60,성인가요/트로트
84,DM,프로미스나인,Midnight Guest,댄스
85,멜로디,ASH ISLAND,멜로디,랩/힙합
86,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album,댄스
87,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단",Savage Love (Laxed - Siren Beat) [BTS Remix],POP
88,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아,성인가요/트로트
89,강변북로,황인욱,황인욱,발라드
90,나 그댈위해 시 한편을 쓰겠어,케이시 (Kassy),옛이야기,발라드
91,HERO,임영웅,HERO,성인가요/트로트
92,끝사랑,임영웅,사랑의 콜센타 PART61,성인가요/트로트
93,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5,"발라드, 국내드라마"
94,DUMB DUMB,전소미,DUMB DUMB,댄스
95,Life Goes On,방탄소년단,BE,랩/힙합
96,"검정색하트 (Feat. Leellamarz, BE'O)",TOIL,Between Sat & Sun,랩/힙합
97,WA DA DA,Kep1er (케플러),FIRST IMPACT,댄스
98,MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Semi Final,랩/힙합
99,ASAP,STAYC(스테이씨),STAYDOM,댄스
100,Bk Love,임영웅,뽕숭아학당 PART23,랩/힙합
