순위,곡명,가수,앨범,장르
1,After LIKE,IVE (아이브),After LIKE,댄스
2,Attention,NewJeans,NewJeans 1st EP 'New Jeans',댄스
3,Pink Venom,BLACKPINK,BORN PINK,랩/힙합
4,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
5,LOVE DIVE,IVE (아이브),LOVE DIVE,댄스
6,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),랩/힙합
7,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album,댄스
8,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,발라드
9,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',댄스
10,보고싶었어,WSG워너비(4FIRE),WSG워너비 1집,R&B/Soul
11,SNEAKERS,ITZY (있지),CHECKMATE,댄스
12,그라데이션,10CM,5.3,"인디음악, 포크/블루스"
13,TOMBOY,i-dle (아이들),I NEVER DIE,록/메탈
14,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,R&B/Soul
15,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
16,나의 X에게,경서,나의 X에게,발라드
17,Shut Down,BLACKPINK,BORN PINK,랩/힙합
18,POP!,나연 (TWICE),IM NAYEON,댄스
19,내가 아니라도,주호,내가 아니라도,발라드
20,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album,댄스
21,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9,댄스
22,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
23,ELEVEN,IVE (아이브),ELEVEN,댄스
24,해요 (2022),#안녕,해요 (2022),"발라드, 인디음악"
25,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,댄스
26,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063,랩/힙합
27,Love story,볼빨간사춘기,Seoul,"인디음악, 포크/블루스"
28,LOVE me,BE'O (비오),LOVE me,랩/힙합
29,취중고백,김민석,취중고백,발라드
30,That's Hilarious,Charlie Puth,CHARLIE,POP
31,Girls,aespa,Girls - The 2nd Mini Album,댄스
32,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),록/메탈
33,사랑한다고 말해줘,탑현,사랑한다고 말해줘,발라드
34,LAW (Prod. Czaer),"윤미래, 비비 (BIBI)",스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),랩/힙합
35,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
36,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
37,Talk that Talk,TWICE (트와이스),BETWEEN 1&2,댄스
38,통화연결음,"보라미유, MJ (써니사이드)",통화연결음,발라드
39,우리들의 블루스,임영웅,IM HERO,발라드
40,새벽에 걸려온 너의 전화는,한동근,미련을 말하는,발라드
41,STAY,"The Kid LAROI, Justin Bieber",Stay,POP
42,신호등,이무진,신호등,록/메탈
43,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’,댄스
44,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"발라드, 국내드라마"
45,INVU,태연 (TAEYEON),INVU - The 3rd Album,댄스
46,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn),댄스
47,I Ain't Worried,OneRepublic,탑건 : 매버릭 (Top Gun: Maverick) (영화 OST),국외영화
