순위,곡명,가수,앨범,장르
1,취중고백,김민석,취중고백,발라드
2,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,랩/힙합
3,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars,랩/힙합
4,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3,랩/힙합
5,ELEVEN,IVE (아이브),ELEVEN,댄스
6,겨울잠,아이유,조각집,발라드
7,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
8,Dreams Come True,aespa,Dreams Come True - SM STATION,댄스
9,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),발라드
10,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick),쇼미더머니 10 Episode 3,랩/힙합
11,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
12,strawberry moon,아이유,strawberry moon,록/메탈
13,신호등,이무진,신호등,록/메탈
14,드라마,아이유,조각집,발라드
15,STAY,"The Kid LAROI, Justin Bieber",Stay,POP
16,Step Back,GOT the beat,Step Back,댄스
17,Savage,aespa,Savage - The 1st Mini Album,댄스
18,Next Level,aespa,Next Level,댄스
19,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student,쇼미더머니 10 Semi Final,랩/힙합
20,흰눈,먼데이 키즈,흰눈,발라드
21,너를 생각해,주시크 (Joosiq),너를 생각해,"R&B/Soul, 인디음악"
22,쉬어 (Feat. MINO) (Prod. GRAY),"아넌딜라이트(Anandelight), 이수린, BE'O (비오), 지구인, Mudd the student",쇼미더머니 10 Episode 1,랩/힙합
23,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Final,랩/힙합
24,Christmas Tree,V,그 해 우리는 OST Part.5,"발라드, 국내드라마"
25,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT,랩/힙합
26,우리가 헤어져야 했던 이유,비비 (BIBI),그 해 우리는 OST Part.2,"발라드, 국내드라마"
27,Wake Up (Prod. 코드 쿤스트),"개코, 아우릴고트 (OUREALGOAT), SINCE, 안병웅, Tabber, 조광일, 코드 쿤스트 (CODE KUNST)",쇼미더머니 10 Episode 1,랩/힙합
28,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,발라드
29,문득,BE'O (비오),Bipolar,랩/힙합
30,Butter,방탄소년단,Butter,댄스
31,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,록/메탈
32,서랍,10CM,그 해 우리는 OST Part.1,"발라드, 국내드라마"
33,Celebrity,아이유,IU 5th Album 'LILAC',댄스
34,Permission to Dance,방탄소년단,Butter / Permission to Dance,댄스
35,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
36,Weekend,태연 (TAEYEON),Weekend,댄스
37,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),발라드
38,My Universe,"Coldplay, 방탄소년단",My Universe,POP
39,정거장,아이유,조각집,포크/블루스
40,헤픈 우연,헤이즈 (Heize),HAPPEN,R&B/Soul
41,이별후회,김나영,그 해 우리는 OST Part.4,"발라드, 국내드라마"
42,라일락,아이유,IU 5th Album 'LILAC',댄스
