순위,곡명,가수,앨범,장르
1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (MIRANI), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1,랩/힙합
2,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
3,잠이 오질 않네요,장범준,잠이 오질 않네요,발라드
4,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),발라드
5,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,발라드
6,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3,랩/힙합
7,Lovesick Girls,BLACKPINK,THE ALBUM,댄스
8,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),발라드
9,Life Goes On,방탄소년단,BE,랩/힙합
10,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),R&B/Soul
11,Freak (Prod. Slom),"릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)",쇼미더머니 9 Episode 1,랩/힙합
12,오래된 노래,스탠딩 에그,오래된 노래,"인디음악, 포크/블루스"
13,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단",Savage Love (Laxed - Siren Beat) [BTS Remix],POP
14,Santa Tell Me,Ariana Grande,Santa Tell Me,POP
15,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (MIRANI),쇼미더머니 9 Episode 3,랩/힙합
16,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),발라드
17,When We Disco (Duet with 선미),박진영,When We Disco,댄스
18,DON'T TOUCH ME,환불원정대,DON'T TOUCH ME,댄스
19,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
20,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga),댄스
21,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),발라드
22,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,록/메탈
23,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda,쇼미더머니 9 Episode 3,랩/힙합
24,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,"록/메탈, 국내드라마"
25,어떻게 지내 (Prod. By VAN.C),오반(OVAN),어떻게 지내,"랩/힙합, 인디음악"
26,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,발라드
27,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,댄스
28,How You Like That,BLACKPINK,How You Like That,댄스
29,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),POP
30,뻔한남자,이승기,뻔한남자,발라드
31,혼술하고 싶은 밤,벤,혼술하고 싶은 밤,발라드
32,I CAN’T STOP ME,TWICE (트와이스),Eyes wide open,댄스
