순위,곡명,가수,앨범,장르
1,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
2,Lovesick Girls,BLACKPINK,THE ALBUM,댄스
3,DON'T TOUCH ME,환불원정대,DON'T TOUCH ME,댄스
4,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),발라드
5,When We Disco (Duet with 선미),박진영,When We Disco,댄스
6,오래된 노래,스탠딩 에그,오래된 노래,"인디음악, 포크/블루스"
7,눈누난나 (NUNU NANA),제시 (Jessi),NUNA,랩/힙합
8,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),발라드
9,마리아 (Maria),화사 (HWASA),María,댄스
10,How You Like That,BLACKPINK,How You Like That,댄스
11,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,록/메탈
12,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,댄스
13,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단",Savage Love (Laxed - Siren Beat) [BTS Remix],POP
14,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",다시 여기 바닷가,댄스
15,아로하,조정석,슬기로운 의사생활 OST Part 3,"발라드, 국내드라마"
16,Downtown Baby,블루 (BLOO),Downtown Baby,"랩/힙합, 인디음악"
17,어떻게 지내 (Prod. By VAN.C),오반(OVAN),어떻게 지내,"랩/힙합, 인디음악"
18,홀로,이하이,홀로,R&B/Soul
19,Blueming,아이유,Love poem,록/메탈
20,Dance Monkey,Tones And I,The Kids Are Coming,POP
21,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,"록/메탈, 국내드라마"
22,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,발라드
23,Memories,Maroon 5,JORDI (Deluxe),POP
24,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,댄스
25,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
26,METEOR,창모 (CHANGMO),Boyhood,랩/힙합
27,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,댄스
28,사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적,발라드
29,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어,발라드
30,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"발라드, 국내드라마"
31,덤디덤디 (DUMDi DUMDi),i-dle (아이들),덤디덤디 (DUMDi DUMDi),댄스
32,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,발라드
33,Summer Hate (Feat. 비),지코 (ZICO),RANDOM BOX,랩/힙합
34,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11,"발라드, 국내드라마"
35,Ice Cream (with Selena Gomez),BLACKPINK,Ice Cream (with Selena Gomez),댄스
36,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,"R&B/Soul, 인디음악"
37,Not Shy,ITZY (있지),Not Shy,댄스
38,2002,Anne-Marie,Speak Your Mind (Deluxe),POP
39,Don't Start Now,Dua Lipa,Future Nostalgia,POP
40,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,발라드
41,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA,발라드
42,봄날,방탄소년단,YOU NEVER WALK ALONE,랩/힙합
43,마음을 드려요,아이유,사랑의 불시착 OST Part 11,"발라드, 국내드라마"
44,Bad Boy,"청하, Christopher",Bad Boy,POP
45,서면역에서,순순희,서면역에서,"발라드, 인디음악"
46,보라빛 밤 (pporappippam),선미,보라빛 밤 (pporappippam),댄스
47,ON,방탄소년단,MAP OF THE SOUL : 7,랩/힙합
48,아무노래,지코 (ZICO),아무노래,랩/힙합
49,안녕,폴킴,호텔 델루나 OST Part.10,"발라드, 국내드라마"
50,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,"록/메탈, 국내드라마"
51,가을 타나 봐,바이브,가을 타나 봐,발라드
52,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요/트로트
53,12:45 (Stripped),Etham,12:45 (Stripped),POP
54,Maniac,Conan Gray,Maniac,POP
55,Love poem,아이유,Love poem,록/메탈
56,그 여름을 틀어줘,"싹쓰리 (유두래곤, 린다G, 비룡)",그 여름을 틀어줘,댄스
57,놓아줘 (with 태연),Crush,with HER,R&B/Soul
58,Into the I-LAND,아이유,I-LAND Part.1 Signal Song,댄스
59,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2,"발라드, 국내드라마"
60,축하해 (Prod. By VAN.C),오반(OVAN),축하해,"랩/힙합, 인디음악"
61,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale,댄스
62,Paris in the Rain,Lauv,I met you when I was 18. (the playlist),POP
63,취했나봐,황인욱,취했나봐,발라드
64,Bet You Wanna (Feat. Cardi B),BLACKPINK,THE ALBUM,댄스
65,밤새 (취향저격 그녀 X 카더가든),카더가든,밤새 (취향저격 그녀 X 카더가든),발라드
66,Pretty Savage,BLACKPINK,THE ALBUM,랩/힙합
67,그때 그 아인,김필,이태원 클라쓰 OST Part.6,"발라드, 국내드라마"
68,너를 만나,폴킴,너를 만나,발라드
69,별을 담은 시 (Ode To The Stars),"마크툽 (MAKTUB), 이라온",Red Moon : Ode To The Stars,"R&B/Soul, 인디음악"
70,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비,"인디음악, 포크/블루스"
71,신난다 (Feat. 마마무),비룡,두리쥬와 X LINDA X 신난다,댄스
72,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",POP
73,Painkiller,Ruel,Painkiller,POP
74,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4,"발라드, 국내드라마"
75,Stuck with U,"Ariana Grande, Justin Bieber",Stuck with U,POP
76,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1,"발라드, 국내드라마"
77,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯,발라드
78,반만,진민호,반만,발라드
