순위,곡명,가수,앨범,장르
1,Ditto,NewJeans,NewJeans 'OMG',댄스
2,OMG,NewJeans,NewJeans 'OMG',댄스
3,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
4,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',록/메탈
5,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS),댄스
6,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,댄스
7,Attention,NewJeans,NewJeans 1st EP 'New Jeans',댄스
8,After LIKE,IVE (아이브),After LIKE,댄스
9,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',댄스
10,Candy,NCT DREAM,Candy - Winter Special Mini Album,댄스
11,LOVE DIVE,IVE (아이브),LOVE DIVE,댄스
12,I Don't Think That I Like Her,Charlie Puth,CHARLIE,POP
13,Nxde,i-dle (아이들),I love,댄스
14,Sugar Rush Ride,투모로우바이투게더,이름의 장: TEMPTATION,댄스
15,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3,랩/힙합
16,Monologue,테이,Monologue,발라드
17,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
18,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),랩/힙합
19,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
20,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',댄스
21,마지막 사랑,신예영,마지막 사랑,발라드
22,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
23,해요 (2022),#안녕,해요 (2022),"발라드, 인디음악"
24,네가 보고 싶은 건 자연스러운 거겠지,신예영,혼잣말 獨白,발라드
25,Shut Down,BLACKPINK,BORN PINK,랩/힙합
26,그대를 알고,송하예,그대를 알고,발라드
27,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04),발라드
28,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour,R&B/Soul
29,Pink Venom,BLACKPINK,BORN PINK,랩/힙합
30,내가 아니라도,주호,내가 아니라도,발라드
31,TOMBOY,i-dle (아이들),I NEVER DIE,록/메탈
32,취중고백,김민석,취중고백,발라드
33,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,댄스
34,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,발라드
35,Unholy,"Sam Smith, Kim Petras",Gloria,POP
36,That's Hilarious,Charlie Puth,CHARLIE,POP
37,잘가요,주호,잘가요,발라드
38,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), R.Tee, 던말릭 (DON MALIK), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), 로스 (Los)",쇼미더머니 11 Episode 1,랩/힙합
39,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022),"발라드, 인디음악"
40,그라데이션,10CM,5.3,"인디음악, 포크/블루스"
41,니 번호가 뜨는 일,이예준,니 번호가 뜨는 일,발라드
42,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
43,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,R&B/Soul
44,STAY,"The Kid LAROI, Justin Bieber",Stay,POP
45,ELEVEN,IVE (아이브),ELEVEN,댄스
46,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"발라드, 국내드라마"
47,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES,랩/힙합
48,딱 10CM만,"10CM, BIG Naughty (서동현)",딱 10CM만,R&B/Soul
49,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY',록/메탈
50,나의 X에게,경서,나의 X에게,발라드
51,우리들의 블루스,임영웅,IM HERO,발라드
52,혼자서 걸어요 (Prod. by 나얼),태연 (TAEYEON),나얼 <Ballad Pop City>,발라드
53,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],POP
54,떠나보낼 준비해 둘걸 그랬어,임한별,떠나보낼 준비해 둘걸 그랬어,발라드
55,사랑해도 될까요,양다일,사랑해도 될까요,발라드
56,보고싶었어,WSG워너비(4FIRE),WSG워너비 1집,R&B/Soul
57,WHEN I MOVE,카라,MOVE AGAIN,댄스
58,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),발라드
59,첫사랑,백아,첫사랑,"인디음악, 포크/블루스"
60,Ay-Yo,NCT 127,Ay-Yo - The 4th Album Repackage,댄스
61,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
62,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9,댄스
63,LOVE me,BE'O (비오),LOVE me,랩/힙합
64,다시 만날 수 있을까,임영웅,IM HERO,발라드
65,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),록/메탈
66,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063,랩/힙합
67,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현),친구로 지내다 보면,R&B/Soul
68,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요/트로트
69,Off My Face,Justin Bieber,Justice (The Complete Edition),POP
