순위,곡명,가수,앨범,장르
1,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',댄스
2,퀸카 (Queencard),i-dle (아이들),I feel,댄스
3,I AM,IVE (아이브),I've IVE,댄스
4,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,댄스
5,헤어지자 말해요,박재정,1집 Alone,발라드
6,Spicy,aespa,MY WORLD - The 3rd Mini Album,댄스
7,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,댄스
8,Kitsch,IVE (아이브),I've IVE,댄스
9,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
10,"Steal The Show (From ""Elemental"")",Lauv,"Steal The Show (From ""Elemental"")","POP, 애니메이션/웹툰, 키즈"
11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,댄스
12,Ditto,NewJeans,NewJeans 'OMG',댄스
13,꽃,지수 (JISOO),ME,댄스
14,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',댄스
15,OMG,NewJeans,NewJeans 'OMG',댄스
16,Attention,NewJeans,NewJeans 1st EP 'New Jeans',댄스
17,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',록/메탈
18,Cupid,FIFTY FIFTY,The Beginning: Cupid,댄스
19,I Don't Think That I Like Her,Charlie Puth,CHARLIE,POP
20,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up',댄스
21,After LIKE,IVE (아이브),After LIKE,댄스
22,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),POP
23,LOVE DIVE,IVE (아이브),LOVE DIVE,댄스
24,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
25,심(心),DK(디셈버),심(心),록/메탈
26,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',댄스
27,Teddy Bear,STAYC(스테이씨),Teddy Bear,댄스
28,물론,허각,물론,발라드
29,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,발라드
30,Allergy,i-dle (아이들),I feel,댄스
31,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,댄스
32,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
33,Candy,NCT DREAM,Candy - Winter Special Mini Album,댄스
34,ETA,NewJeans,NewJeans 2nd EP 'Get Up',댄스
35,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],댄스
36,사랑..그게 뭔데,지아,사랑..그게 뭔데,발라드
37,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
38,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
39,모래 알갱이,임영웅,모래 알갱이,발라드
40,나에게 그대만이,탑현,나에게 그대만이,발라드
41,Heaven(2023),임재현,시작은 첫키스 OST Part.1,"발라드, 국내드라마"
42,잠깐 시간 될까,이무진,잠깐 시간 될까,록/메탈
43,우리들의 블루스,임영웅,IM HERO,발라드
44,NIGHT DANCER,imase,NIGHT DANCER,J-POP
45,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게,R&B/Soul
46,STAY,"The Kid LAROI, Justin Bieber",Stay,POP
47,That's Hilarious,Charlie Puth,CHARLIE,POP
48,취중고백,김민석,취중고백,발라드
49,해요 (2022),#안녕,해요 (2022),"발라드, 인디음악"
50,TOMBOY,i-dle (아이들),I NEVER DIE,록/메탈
51,Butter,방탄소년단,Butter,댄스
52,사실말야내가말야그게그러니까말이야,케이시 (Kassy),사실말야내가말야그게그러니까말이야,발라드
53,첫 키스에 내 심장은 120BPM,경서,ONGOING,록/메탈
54,Nxde,i-dle (아이들),I love,댄스
55,다시 만날 수 있을까,임영웅,IM HERO,발라드
56,KNOCK,이채연,Over The Moon,댄스
57,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,That’s Not How This Works (feat. Dan + Shay),POP
58,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
59,Monologue,테이,Monologue,발라드
60,Thirsty,aespa,MY WORLD - The 3rd Mini Album,R&B/Soul
61,사랑의 바보,제이세라,사랑의 바보,발라드
62,Still With You,정국,Still With You,R&B/Soul
63,사람 Pt.2 (feat. 아이유),Agust D,D-DAY,R&B/Soul
64,찬란한 하루,멜로망스,찬란한 하루,"발라드, 인디음악"
65,봄날,방탄소년단,YOU NEVER WALK ALONE,랩/힙합
66,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요/트로트
67,Permission to Dance,방탄소년단,Butter / Permission to Dance,댄스
68,그라데이션,10CM,5.3,"인디음악, 포크/블루스"
69,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],POP
70,무지개,임영웅,IM HERO,록/메탈
71,Broken Melodies,NCT DREAM,ISTJ - The 3rd Album,록/메탈
72,ELEVEN,IVE (아이브),ELEVEN,댄스
73,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",발라드
74,안녕이라고 말하지마,V.O.S,안녕이라고 말하지마,발라드
75,Take Two,방탄소년단,Take Two,R&B/Soul
76,Like Crazy,지민,FACE,댄스
77,내가 아니라도,주호,내가 아니라도,발라드
78,사랑하기 싫어,지아,사랑하기 싫어,발라드
79,London Boy,임영웅,Polaroid,록/메탈
80,Shut Down,BLACKPINK,BORN PINK,랩/힙합
81,Love Me Like This,NMIXX,expérgo,댄스
82,부동의 첫사랑,10CM,5.4 [부동의 첫사랑],"인디음악, 포크/블루스"
