순위,곡명,가수,앨범,장르
1,Ditto,NewJeans,NewJeans 'OMG',댄스
2,OMG,NewJeans,NewJeans 'OMG',댄스
3,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
4,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',록/메탈
5,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,댄스
6,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3,랩/힙합
7,Attention,NewJeans,NewJeans 1st EP 'New Jeans',댄스
8,After LIKE,IVE (아이브),After LIKE,댄스
9,Candy,NCT DREAM,Candy - Winter Special Mini Album,댄스
10,Nxde,i-dle (아이들),I love,댄스
11,LOVE DIVE,IVE (아이브),LOVE DIVE,댄스
12,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),랩/힙합
13,Monologue,테이,Monologue,발라드
14,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), R.Tee, 던말릭 (DON MALIK), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), 로스 (Los)",쇼미더머니 11 Episode 1,랩/힙합
15,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
16,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',댄스
17,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS),댄스
18,그대를 알고,송하예,그대를 알고,발라드
19,해요 (2022),#안녕,해요 (2022),"발라드, 인디음악"
20,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
21,Shut Down,BLACKPINK,BORN PINK,랩/힙합
22,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
23,잘가요,주호,잘가요,발라드
24,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour,R&B/Soul
25,Pink Venom,BLACKPINK,BORN PINK,랩/힙합
26,TOMBOY,i-dle (아이들),I NEVER DIE,록/메탈
27,내가 아니라도,주호,내가 아니라도,발라드
28,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04),발라드
29,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,발라드
30,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],POP
31,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,댄스
32,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES,랩/힙합
33,취중고백,김민석,취중고백,발라드
34,그라데이션,10CM,5.3,"인디음악, 포크/블루스"
35,딱 10CM만,"10CM, BIG Naughty (서동현)",딱 10CM만,R&B/Soul
36,I Don't Think That I Like Her,Charlie Puth,CHARLIE,POP
37,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,R&B/Soul
38,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022),"발라드, 인디음악"
39,ELEVEN,IVE (아이브),ELEVEN,댄스
40,나의 X에게,경서,나의 X에게,발라드
41,WHEN I MOVE,카라,MOVE AGAIN,댄스
42,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
43,우리들의 블루스,임영웅,IM HERO,발라드
44,That's Hilarious,Charlie Puth,CHARLIE,POP
45,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"발라드, 국내드라마"
46,보고싶었어,WSG워너비(4FIRE),WSG워너비 1집,R&B/Soul
47,첫사랑,백아,첫사랑,"인디음악, 포크/블루스"
48,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY',록/메탈
49,떠나보낼 준비해 둘걸 그랬어,임한별,떠나보낼 준비해 둘걸 그랬어,발라드
50,그 겨울이 잠든 거리에서,"경서예지, 전건호",그 겨울이 잠든 거리에서 (경서예지 x 전건호),발라드
51,LOVE me,BE'O (비오),LOVE me,랩/힙합
52,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),발라드
53,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈",우린 그렇게 사랑해서,발라드
54,STAY,"The Kid LAROI, Justin Bieber",Stay,POP
55,다시 만날 수 있을까,임영웅,IM HERO,발라드
56,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063,랩/힙합
57,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),POP
58,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh),쇼미더머니 11 Semi Final,랩/힙합
59,새벽에 걸려온 너의 전화는,한동근,미련을 말하는,발라드
60,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9,댄스
61,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),발라드
62,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
63,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),록/메탈
64,주저하는 연인들을 위해,잔나비,전설,"인디음악, 록/메탈"
65,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),쇼미더머니 11 Episode 3,랩/힙합
