순위,곡명,가수,앨범,장르
1,Ditto,NewJeans,NewJeans 'OMG',댄스
2,OMG,NewJeans,NewJeans 'OMG',댄스
3,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
4,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',록/메탈
5,Teddy Bear,STAYC(스테이씨),Teddy Bear,댄스
6,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',댄스
7,I Don't Think That I Like Her,Charlie Puth,CHARLIE,POP
8,사랑하기 싫어,지아,사랑하기 싫어,발라드
9,심(心),DK(디셈버),심(心),록/메탈
10,Attention,NewJeans,NewJeans 1st EP 'New Jeans',댄스
11,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,댄스
12,After LIKE,IVE (아이브),After LIKE,댄스
13,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS),댄스
14,나비무덤,포맨 (4MEN),나비무덤,발라드
15,LOVE DIVE,IVE (아이브),LOVE DIVE,댄스
16,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
17,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1,록/메탈
18,Candy,NCT DREAM,Candy - Winter Special Mini Album,댄스
19,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
20,Nxde,i-dle (아이들),I love,댄스
21,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),POP
22,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
23,Monologue,테이,Monologue,발라드
24,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),랩/힙합
25,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],댄스
26,That's Hilarious,Charlie Puth,CHARLIE,POP
27,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',댄스
28,해요 (2022),#안녕,해요 (2022),"발라드, 인디음악"
29,NIGHT DANCER,imase,NIGHT DANCER,J-POP
30,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04),발라드
31,취중고백,김민석,취중고백,발라드
32,Nostalgia,우디 (Woody),Nostalgia,일렉트로니카
33,Unholy,"Sam Smith, Kim Petras",Gloria,POP
34,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3,랩/힙합
35,Shut Down,BLACKPINK,BORN PINK,랩/힙합
36,STAY,"The Kid LAROI, Justin Bieber",Stay,POP
37,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour,R&B/Soul
38,내가 아니라도,주호,내가 아니라도,발라드
39,TOMBOY,i-dle (아이들),I NEVER DIE,록/메탈
40,Poppy (Korean Ver.),STAYC(스테이씨),Teddy Bear,댄스
41,Pink Venom,BLACKPINK,BORN PINK,랩/힙합
42,너와 함께,김민석,너와 함께,"발라드, 인디음악"
43,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,발라드
44,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,댄스
45,그라데이션,10CM,5.3,"인디음악, 포크/블루스"
46,Sugar Rush Ride,투모로우바이투게더,이름의 장: TEMPTATION,댄스
47,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
48,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,R&B/Soul
49,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),호프리스 로맨틱,R&B/Soul
50,on the street (with J. Cole),"j-hope, J. Cole",on the street (with J. Cole),랩/힙합
51,그대를 알고,송하예,그대를 알고,발라드
52,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY',록/메탈
53,마지막 사랑,신예영,마지막 사랑,발라드
54,네가 보고 싶은 건 자연스러운 거겠지,신예영,혼잣말 獨白,발라드
55,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
56,우리들의 블루스,임영웅,IM HERO,발라드
57,잘가요,주호,잘가요,발라드
58,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"발라드, 국내드라마"
59,ELEVEN,IVE (아이브),ELEVEN,댄스
60,나의 X에게,경서,나의 X에게,발라드
61,혼자가 아닌 나,정효빈,혼자가 아닌 나,발라드
62,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022),"발라드, 인디음악"
63,딱 10CM만,"10CM, BIG Naughty (서동현)",딱 10CM만,R&B/Soul
64,봄날,방탄소년단,YOU NEVER WALK ALONE,랩/힙합
65,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],POP
66,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9,댄스
67,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES,랩/힙합
68,Off My Face,Justin Bieber,Justice (The Complete Edition),POP
69,LOVE me,BE'O (비오),LOVE me,랩/힙합
70,다시 만날 수 있을까,임영웅,IM HERO,발라드
71,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),발라드
72,Butter,방탄소년단,Butter,댄스
73,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),록/메탈
