순위,곡명,가수,앨범,장르
1,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,댄스
2,Drama,aespa,Drama - The 4th Mini Album,댄스
3,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',발라드
4,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,R&B/Soul
5,Baddie,IVE (아이브),I'VE MINE,댄스
6,헤어지자 말해요,박재정,1집 Alone,발라드
7,Love Lee,AKMU (악뮤),Love Lee,댄스
8,인사,범진,인사,"발라드, 인디음악"
9,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,댄스
10,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],댄스
11,후라이의 꿈,AKMU (악뮤),Love Lee,포크/블루스
12,I AM,IVE (아이브),I've IVE,댄스
13,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),발라드
14,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),R&B/Soul
15,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',댄스
16,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,발라드
17,Either Way,IVE (아이브),I'VE MINE,R&B/Soul
18,ETA,NewJeans,NewJeans 2nd EP 'Get Up',댄스
19,Ditto,NewJeans,NewJeans 'OMG',댄스
20,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),POP
21,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,랩/힙합
22,별 떨어진다 (I Do),도경수(D.O.),기대 - The 2nd Mini Album,발라드
23,Standing Next to You,정국,GOLDEN,댄스
24,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
25,Santa Tell Me,Ariana Grande,Santa Tell Me,POP
26,비의 랩소디,임재현,비의 랩소디,발라드
27,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",발라드
28,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
29,Get A Guitar,RIIZE,Get A Guitar,댄스
30,퀸카 (Queencard),i-dle (아이들),I feel,댄스
31,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
32,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,발라드
33,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,댄스
34,Fast Forward,전소미,GAME PLAN,댄스
35,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
36,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,댄스
37,Off The Record,IVE (아이브),I'VE MINE,댄스
38,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',댄스
39,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',록/메탈
40,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,발라드
41,Spicy,aespa,MY WORLD - The 3rd Mini Album,댄스
42,잠시라도 우리,"성시경, 나얼",잠시라도 우리,발라드
43,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
44,Last Christmas,Ariana Grande,Christmas Kisses,POP
45,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,댄스
46,Kitsch,IVE (아이브),I've IVE,댄스
47,OMG,NewJeans,NewJeans 'OMG',댄스
48,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,"댄스, 게임"
49,"Steal The Show (From ""Elemental"")",Lauv,"Steal The Show (From ""Elemental"")","POP, 애니메이션/웹툰, 키즈"
50,심(心),DK(디셈버),심(心),록/메탈
51,취중고백,김민석,취중고백,발라드
52,I Don't Think That I Like Her,Charlie Puth,CHARLIE,POP
53,Bubble,STAYC(스테이씨),TEENFRESH,댄스
54,I Love My Body,화사 (HWASA),I Love My Body,댄스
55,물론,허각,물론,발라드
56,LOVE DIVE,IVE (아이브),LOVE DIVE,댄스
57,Discord,QWER,1st Single Album 'Harmony from Discord',록/메탈
58,주저하는 연인들을 위해,잔나비,전설,"인디음악, 록/메탈"
59,After LIKE,IVE (아이브),After LIKE,댄스
60,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
61,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),POP
62,해요 (2022),#안녕,해요 (2022),"발라드, 인디음악"
63,우리들의 블루스,임영웅,IM HERO,발라드
64,Attention,NewJeans,NewJeans 1st EP 'New Jeans',댄스
65,Do or Die,임영웅,Do or Die,댄스
66,나에게 그대만이,탑현,나에게 그대만이,발라드
67,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',댄스
68,사랑..그게 뭔데,지아,사랑..그게 뭔데,발라드
69,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,댄스
70,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',댄스
71,모래 알갱이,임영웅,모래 알갱이,발라드
