순위,곡명,가수,앨범,장르
1,Love Lee,AKMU (악뮤),Love Lee,댄스
2,후라이의 꿈,AKMU (악뮤),Love Lee,포크/블루스
3,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,랩/힙합
4,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,댄스
5,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',댄스
6,Either Way,IVE (아이브),I'VE MINE,R&B/Soul
7,ETA,NewJeans,NewJeans 2nd EP 'Get Up',댄스
8,Fast Forward,전소미,GAME PLAN,댄스
9,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],댄스
10,헤어지자 말해요,박재정,1집 Alone,발라드
11,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,발라드
12,I Love My Body,화사 (HWASA),I Love My Body,댄스
13,I AM,IVE (아이브),I've IVE,댄스
14,Bubble,STAYC(스테이씨),TEENFRESH,댄스
15,퀸카 (Queencard),i-dle (아이들),I feel,댄스
16,Get A Guitar,RIIZE,Get A Guitar,댄스
17,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
18,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",발라드
19,"Steal The Show (From ""Elemental"")",Lauv,"Steal The Show (From ""Elemental"")","POP, 애니메이션/웹툰, 키즈"
20,Spicy,aespa,MY WORLD - The 3rd Mini Album,댄스
21,Ditto,NewJeans,NewJeans 'OMG',댄스
22,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,댄스
23,Baddie,IVE (아이브),I'VE MINE,댄스
24,Kitsch,IVE (아이브),I've IVE,댄스
25,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
26,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
27,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',록/메탈
28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
29,Still With You,정국,Still With You,R&B/Soul
30,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,랩/힙합
31,CAKE,ITZY (있지),KILL MY DOUBT,랩/힙합
32,Off The Record,IVE (아이브),I'VE MINE,댄스
33,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
34,After LIKE,IVE (아이브),After LIKE,댄스
35,I Don't Think That I Like Her,Charlie Puth,CHARLIE,POP
36,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,댄스
37,LOVE DIVE,IVE (아이브),LOVE DIVE,댄스
38,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up',댄스
39,심(心),DK(디셈버),심(心),록/메탈
40,OMG,NewJeans,NewJeans 'OMG',댄스
41,나에게 그대만이,탑현,나에게 그대만이,발라드
42,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,발라드
43,Attention,NewJeans,NewJeans 1st EP 'New Jeans',댄스
44,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',댄스
45,19금 3D (feat. Jack Harlow),"정국, Jack Harlow",3D (feat. Jack Harlow),댄스
46,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),POP
47,물론,허각,물론,발라드
48,취중고백,김민석,취중고백,발라드
49,주저하는 연인들을 위해,잔나비,전설,"인디음악, 록/메탈"
50,Vancouver 2,BIG Naughty (서동현),ICN > YVR,록/메탈
51,꽃,지수 (JISOO),ME,댄스
52,I WANT,IVE (아이브),I WANT,댄스
53,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),발라드
54,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',댄스
55,별 떨어진다 (I Do),도경수(D.O.),기대 - The 2nd Mini Album,발라드
56,해요 (2022),#안녕,해요 (2022),"발라드, 인디음악"
57,KIDDING,이세계아이돌,KIDDING,댄스
58,Teddy Bear,STAYC(스테이씨),Teddy Bear,댄스
59,Baggy Jeans,NCT U,Golden Age - The 4th Album,댄스
60,우리들의 블루스,임영웅,IM HERO,발라드
61,Dynamite,방탄소년단,Dynamite (DayTime Version),댄스
62,STAY,"The Kid LAROI, Justin Bieber",Stay,POP
63,모래 알갱이,임영웅,모래 알갱이,발라드
64,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],댄스
65,Love Me Again,V,Layover,R&B/Soul
66,미친 사랑의 노래,"김연지, DK(디셈버)",미친 사랑의 노래,발라드
67,사실말야내가말야그게그러니까말이야,케이시 (Kassy),사실말야내가말야그게그러니까말이야,발라드
68,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,댄스
69,다시 만날 수 있을까,임영웅,IM HERO,발라드
70,민들레 (single ver.),우효,민들레,"인디음악, 록/메탈"
71,Cool With You,NewJeans,NewJeans 2nd EP 'Get Up',댄스
72,사랑..그게 뭔데,지아,사랑..그게 뭔데,발라드
73,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요/트로트
74,Somebody,도경수(D.O.),기대 - The 2nd Mini Album,포크/블루스
75,Do or Die,임영웅,Do or Die,댄스
76,Butter,방탄소년단,Butter,댄스
77,Better Things,aespa,Better Things,댄스
78,봄날,방탄소년단,YOU NEVER WALK ALONE,랩/힙합
79,Fact Check (불가사의; 不可思議),NCT 127,Fact Check - The 5th Album,댄스
80,가을 타나 봐,바이브,가을 타나 봐,발라드
81,Slow Dancing,V,Layover,R&B/Soul
82,Click Like (Prod. Crush) (Feat. Paul Blanco),Crush,스트릿 우먼 파이터2(SWF2) 계급미션,R&B/Soul
83,무지개,임영웅,IM HERO,록/메탈
84,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"발라드, 국내드라마"
85,Candy,NCT DREAM,Candy - Winter Special Mini Album,댄스
86,Chili,화사 (HWASA),Chili,댄스
87,사랑의 바보,제이세라,사랑의 바보,발라드
88,잠시라도 우리,"성시경, 나얼",잠시라도 우리,발라드
89,아버지,임영웅,IM HERO,발라드
90,London Boy,임영웅,Polaroid,록/메탈
91,That's Hilarious,Charlie Puth,CHARLIE,POP
92,잠깐 시간 될까,이무진,잠깐 시간 될까,록/메탈
93,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],POP
94,사람 Pt.2 (feat. 아이유),Agust D,D-DAY,R&B/Soul
95,Polaroid,임영웅,Polaroid,록/메탈
96,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz),거리에서,랩/힙합
97,달빛에 그려지는,미연 (MIYEON),연인 OST Part.4,"발라드, 국내드라마"
98,Cupid,FIFTY FIFTY,The Beginning: Cupid,댄스
99,밤 (Night),dori,밤 (Night),R&B/Soul
100,인생찬가,임영웅,IM HERO,발라드
